Date,Time,Value[mNAP],State of value
1985-01-24,00:00:00,0.811,40
1985-01-25,00:00:00,0.691,40
1985-01-26,00:00:00,0.536,40
1985-01-27,00:00:00,0.453,40
1985-01-28,00:00:00,0.199,40
1985-01-29,00:00:00,0.410,40
1985-01-30,00:00:00,0.468,40
1985-01-31,00:00:00,0.370,40
1985-02-01,00:00:00,0.825,40
1985-02-02,00:00:00,0.664,40
1985-02-03,00:00:00,0.521,40
1985-02-04,00:00:00,0.313,40
1985-02-05,00:00:00,0.407,40
1985-02-06,00:00:00,0.361,40
1985-02-07,00:00:00,0.301,40
1985-02-08,00:00:00,0.210,40
1985-02-09,00:00:00,0.244,40
1985-02-10,00:00:00,0.207,40
1985-02-11,00:00:00,0.199,40
1985-02-12,00:00:00,0.388,40
1985-02-13,00:00:00,0.311,40
1985-02-14,00:00:00,0.341,40
1985-02-15,00:00:00,0.316,40
1985-02-16,00:00:00,0.242,40
1985-02-17,00:00:00,0.205,40
1985-02-18,00:00:00,0.320,40
1985-02-19,00:00:00,0.453,40
1985-02-20,00:00:00,0.355,40
1985-02-21,00:00:00,0.314,40
1985-02-22,00:00:00,0.269,40
1985-02-23,00:00:00,0.332,40
1985-02-24,00:00:00,0.410,40
1985-02-25,00:00:00,0.360,40
1985-02-26,00:00:00,0.320,40
1985-02-27,00:00:00,0.375,40
1985-02-28,00:00:00,0.346,40
1985-03-01,00:00:00,0.269,40
1985-03-02,00:00:00,0.414,40
1985-03-03,00:00:00,0.476,40
1985-03-04,00:00:00,0.461,40
1985-03-05,00:00:00,0.376,40
1985-03-06,00:00:00,0.357,40
1985-03-07,00:00:00,0.302,40
1985-03-08,00:00:00,0.370,40
1985-03-09,00:00:00,0.429,40
1985-03-10,00:00:00,0.439,40
1985-03-11,00:00:00,0.589,40
1985-03-12,00:00:00,0.351,40
1985-03-13,00:00:00,0.337,40
1985-03-14,00:00:00,0.359,40
1985-03-15,00:00:00,0.461,40
1985-03-16,00:00:00,0.481,40
1985-03-17,00:00:00,0.448,40
1985-03-18,00:00:00,0.430,40
1985-03-19,00:00:00,0.403,40
1985-03-20,00:00:00,0.459,40
1985-03-21,00:00:00,0.464,40
1985-03-22,00:00:00,0.499,40
1985-03-23,00:00:00,0.576,40
1985-03-24,00:00:00,0.580,40
1985-03-25,00:00:00,0.561,40
1985-03-26,00:00:00,0.626,40
1985-03-27,00:00:00,0.707,40
1985-03-28,00:00:00,0.883,40
1985-03-29,00:00:00,0.790,40
1985-03-30,00:00:00,0.545,40
1985-03-31,00:00:00,0.671,40
1985-04-01,00:00:00,0.605,40
1985-04-02,00:00:00,0.744,40
1985-04-03,00:00:00,0.598,40
1985-04-04,00:00:00,0.518,40
1985-04-05,00:00:00,0.576,40
1985-04-06,00:00:00,0.594,40
1985-04-07,00:00:00,---,40
1985-04-08,00:00:00,---,255
1985-04-09,00:00:00,---,40
1985-04-10,00:00:00,0.570,40
1985-04-11,00:00:00,0.546,40
1985-04-12,00:00:00,0.948,40
1985-04-13,00:00:00,0.793,40
1985-04-14,00:00:00,0.934,40
1985-04-15,00:00:00,0.782,40
1985-04-16,00:00:00,0.609,40
